0.0269618 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
0.102176 3.48421 27.5648 -28.9975 40.1598 35.2314 54.1458 
0.152334 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
0.202518 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
0.252669 4.58645 27.181 -28.1897 39.4272 35.2314 54.279 
0.3028 4.84122 27.4113 -28.7167 39.9933 35.7975 54.8451 
0.352932 3.55301 26.8225 -29.7223 40.1931 35.8974 54.2124 
0.428126 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
0.478262 4.67535 27.3155 -28.8352 39.9933 35.7975 54.7452 
0.528398 4.77536 27.3879 -28.8888 40.0932 35.8974 54.8784 
0.578527 4.35746 27.1868 -28.3598 39.5271 35.2314 54.2124 
0.628657 4.67535 27.3155 -28.8352 39.9933 35.7975 54.7452 
0.678786 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
0.753974 5.61032 26.8395 -28.0993 39.2607 35.7975 54.7785 
0.804153 5.54661 26.9401 -28.1553 39.3606 35.7975 54.8118 
0.854277 4.72001 27.4812 -28.8092 40.0932 35.7975 54.8451 
0.904405 4.77536 27.3879 -28.8888 40.0932 35.8974 54.8784 
0.954527 5.61032 26.8395 -28.0993 39.2607 35.7975 54.7785 
1.02971 4.72001 27.4812 -28.8092 40.0932 35.7975 54.8451 
1.07984 4.84122 27.4113 -28.7167 39.9933 35.7975 54.8451 
1.12998 4.72001 27.4812 -28.8092 40.0932 35.7975 54.8451 
1.1801 4.67535 27.4404 -28.7163 39.9933 35.6976 54.7452 
1.23022 4.77536 27.3879 -28.8888 40.0932 35.8974 54.8784 
1.30542 5.52244 27.8444 -27.3623 39.4272 35.1315 54.8451 
1.35555 5.64164 27.6526 -27.3887 39.3273 35.2314 54.8451 
1.40568 4.72001 27.4812 -28.8092 40.0932 35.7975 54.8451 
1.4558 4.50681 27.2681 -28.2117 39.4938 35.1981 54.279 
1.50593 4.50681 27.2681 -28.2117 39.4938 35.1981 54.279 
1.55605 4.46694 27.1267 -28.4003 39.5271 35.3313 54.279 
1.63125 4.34713 27.1959 -28.4918 39.627 35.3313 54.279 
1.68138 4.44638 27.2682 -28.5465 39.7269 35.4312 54.4122 
1.7315 4.50681 27.2681 -28.2117 39.4938 35.1981 54.279 
1.78163 3.4701 27.5509 -28.9663 40.1265 35.1981 54.1125 
1.83175 3.56717 27.7473 -28.9054 40.2264 35.1981 54.2457 
1.88188 4.5116 27.2908 -28.3752 39.627 35.3313 54.3789 
1.95707 4.50681 27.2681 -28.2117 39.4938 35.1981 54.279 
2.0072 4.48183 27.2636 -28.3131 39.5604 35.2647 54.3123 
2.05733 4.46205 27.0633 -28.2763 39.3939 35.2314 54.1791 
2.10747 4.5116 27.1672 -28.4937 39.627 35.4312 54.3789 
2.15757 4.42228 27.0863 -28.3069 39.4272 35.2314 54.1791 
2.23276 4.56649 27.2813 -28.3756 39.627 35.3646 54.4122 
2.28289 4.47697 27.1178 -28.2681 39.4272 35.2314 54.2124 
2.33302 4.52173 27.2817 -28.2428 39.5271 35.2314 54.3123 
2.38315 4.35746 27.1868 -28.3598 39.5271 35.2314 54.2124 
2.43328 4.52174 27.1172 -28.4008 39.5271 35.3646 54.3123 
2.50847 5.45374 26.7087 -27.7897 38.9277 35.4645 54.4455 
2.58367 6.10726 28.1373 -27.7091 39.96 35.7642 55.5777 
2.73406 7.11104 27.6777 -26.5807 39.0276 35.5644 55.5111 
2.80925 5.57143 26.7646 -27.572 38.8278 35.3646 54.4455 
2.85938 5.62538 26.6445 -27.3492 38.5947 35.2314 54.3123 
2.93457 6.94471 27.3768 -26.4491 38.6946 35.3646 55.1781 
2.9847 5.80782 27.7486 -27.2566 39.3273 35.2314 54.945 
3.03482 5.94956 26.995 -27.4087 38.9277 35.4645 54.7452 
3.11002 5.75227 27.6091 -26.7363 38.8611 34.7985 54.5787 
3.1602 5.57143 26.7646 -27.572 38.8278 35.3646 54.4455 
3.21033 4.58645 27.181 -28.1897 39.4272 35.2314 54.279 
